HGNC symbol	Description	Phenotype description
CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	low-density lipoprotein receptor activity
CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	positive regulation of macrophage derived foam cell differentiation
CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	
CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	OKT4 EPITOPE DEFICIENCY
CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	
CDC42BPG	CDC42 binding protein kinase gamma [Source:HGNC Symbol;Acc:HGNC:29829]	
CDH15	cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]	Autosomal dominant non-syndromic intellectual disability
CDH15	cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]	MENTAL RETARDATION AUTOSOMAL DOMINANT 3
CDH15	cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]	mental retardation autosomal dominant type 3 (MRD3)
CDK10	cyclin dependent kinase 10 [Source:HGNC Symbol;Acc:HGNC:1770]	
CDK2AP2	cyclin dependent kinase 2 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:30833]	
CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	Atypical Rett syndrome
CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	Early infantile epileptic encephalopathy
CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	West syndrome
CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE 2
CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	epileptic encephalopathy early infantile type 2 (EIEE2)
CEBPB	CCAAT/enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	
CEBPD	CCAAT/enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]	
CEBPG	CCAAT/enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	
CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	MODY type II
CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	MATURITY-ONSET DIABETES OF THE YOUNG TYPE 8 WITH EXOCRINE DYSFUNCTION
CELSR1	cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]	
CENPL	centromere protein L [Source:HGNC Symbol;Acc:HGNC:17879]	
CERS1	ceramide synthase 1 [Source:HGNC Symbol;Acc:HGNC:14253]	Progressive myoclonic epilepsy type 8
CERS1	ceramide synthase 1 [Source:HGNC Symbol;Acc:HGNC:14253]	Conotruncal heart malformations
CERS1	ceramide synthase 1 [Source:HGNC Symbol;Acc:HGNC:14253]	EPILEPSY PROGRESSIVE MYOCLONIC 8 (1 family)
CERS1	ceramide synthase 1 [Source:HGNC Symbol;Acc:HGNC:14253]	RIGHT ATRIAL ISOMERISM
CERS1	ceramide synthase 1 [Source:HGNC Symbol;Acc:HGNC:14253]	TETRALOGY OF FALLOT
CERS1	ceramide synthase 1 [Source:HGNC Symbol;Acc:HGNC:14253]	TRANSPOSITION OF THE GREAT ARTERIES DEXTRO-LOOPED 3
CES2	carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864]	
CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	COMPLEMENT FACTOR D DEFICIENCY
CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	Recurrent Neisseria infections due to factor D deficiency
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	Congenital bilateral absence of vas deferens
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	CYSTIC FIBROSIS
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	Hereditary chronic pancreatitis
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	Idiopathic bronchiectasis
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	Male infertility with azoospermia or oligozoospermia due to single gene mutation
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	PANCREATITIS HEREDITARY
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	VAS DEFERENS CONGENITAL BILATERAL APLASIA OF
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	chloride channel activity
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	chloride transmembrane transport
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	positive regulation of cyclic nucleotide-gated ion channel activity
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	positive regulation of exocytosis
CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	positive regulation of insulin secretion involved in cellular response to glucose stimulus
CHD6	chromodomain helicase DNA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19057]	
CHIC2	cysteine rich hydrophobic domain 2 [Source:HGNC Symbol;Acc:HGNC:1935]	
CHMP4A	charged multivesicular body protein 4A [Source:HGNC Symbol;Acc:HGNC:20274]	
CHORDC1	cysteine and histidine rich domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14525]	
CIRBP	cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]	
CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	
CLASP2	cytoplasmic linker associated protein 2 [Source:HGNC Symbol;Acc:HGNC:17078]	
CLDN15	claudin 15 [Source:HGNC Symbol;Acc:HGNC:2036]	
CLDN3	claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]	bicellular tight junction assembly
CLDN3	claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]	positive regulation of protein homooligomerization
CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	
CLEC18A	C-type lectin domain family 18 member A [Source:HGNC Symbol;Acc:HGNC:30388]	
CLEC18B	C-type lectin domain family 18 member B [Source:HGNC Symbol;Acc:HGNC:33849]	
CLEC2B	C-type lectin domain family 2 member B [Source:HGNC Symbol;Acc:HGNC:2053]	
CLEC4F	C-type lectin domain family 4 member F [Source:HGNC Symbol;Acc:HGNC:25357]	
CLIC2	chloride intracellular channel 2 [Source:HGNC Symbol;Acc:HGNC:2063]	X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome
CLIC2	chloride intracellular channel 2 [Source:HGNC Symbol;Acc:HGNC:2063]	MENTAL RETARDATION X-LINKED SYNDROMIC 32
CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	
CNTD2	cyclin N-terminal domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25805]	
CNTNAP5	contactin associated protein like 5 [Source:HGNC Symbol;Acc:HGNC:18748]	
COA1	cytochrome c oxidase assembly factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:21868]	
COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	DEAFNESS AUTOSOMAL DOMINANT 9
COL13A1	collagen type XIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2190]	Postsynaptic congenital myasthenic syndromes
COL13A1	collagen type XIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2190]	Presynaptic congenital myasthenic syndromes
COL13A1	collagen type XIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2190]	Myasthenic syndrome congenital 19
COL13A1	collagen type XIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2190]	Congenital Myasthenic Syndrome Type 19
COL19A1	collagen type XIX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2196]	
COLGALT1	collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26182]	
COPG2	coatomer protein complex subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:2237]	
COX11	COX11, cytochrome c oxidase copper chaperone [Source:HGNC Symbol;Acc:HGNC:2261]	
COX15	COX15, cytochrome c oxidase assembly homolog [Source:HGNC Symbol;Acc:HGNC:2263]	Fatal infantile cytochrome C oxidase deficiency
COX15	COX15, cytochrome c oxidase assembly homolog [Source:HGNC Symbol;Acc:HGNC:2263]	Leigh syndrome with leukodystrophy
COX15	COX15, cytochrome c oxidase assembly homolog [Source:HGNC Symbol;Acc:HGNC:2263]	CARDIOENCEPHALOMYOPATHY FATAL INFANTILE DUE TO CYTOCHROME c OXIDASEDEFICIENCY 2
COX15	COX15, cytochrome c oxidase assembly homolog [Source:HGNC Symbol;Acc:HGNC:2263]	Leigh syndrome
COX15	COX15, cytochrome c oxidase assembly homolog [Source:HGNC Symbol;Acc:HGNC:2263]	MITOCHONDRIAL COMPLEX IV DEFICIENCY
COX18	COX18, cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:26801]	
CPT1B	carnitine palmitoyltransferase 1B [Source:HGNC Symbol;Acc:HGNC:2329]	
CRABP1	cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338]	
CRELD1	cysteine rich with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:14630]	Complete atrioventricular canal-Fallot tetralogy syndrome
CRELD1	cysteine rich with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:14630]	Complete atrioventricular canal-left heart obstruction syndrome
CRELD1	cysteine rich with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:14630]	Complete atrioventricular canal-ventricle hypoplasia syndrome
CRELD1	cysteine rich with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:14630]	Partial atrioventricular canal
CRELD1	cysteine rich with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:14630]	ATRIOVENTRICULAR SEPTAL DEFECT SUSCEPTIBILITY TO 2
CRELD1	cysteine rich with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:14630]	Heterotaxy Syndrome
CRTAM	cytotoxic and regulatory T-cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]	
CRYZL1	crystallin zeta like 1 [Source:HGNC Symbol;Acc:HGNC:2420]	
CSAG1	chondrosarcoma associated gene 1 [Source:HGNC Symbol;Acc:HGNC:24294]	
CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	
CTTNBP2	cortactin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15679]	
CUZD1	CUB and zona pellucida like domains 1 [Source:HGNC Symbol;Acc:HGNC:17937]	
CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	
CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	WHIM SYNDROME
CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	calcium-mediated signaling
CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	positive regulation of chemotaxis
CXorf56	chromosome X open reading frame 56 [Source:HGNC Symbol;Acc:HGNC:26239]	
CXorf67	chromosome X open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:33738]	
CYB561D2	cytochrome b561 family member D2 [Source:HGNC Symbol;Acc:HGNC:30253]	
CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	Chronic granulomatous disease
CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	GRANULOMATOUS DISEASE CHRONIC AUTOSOMAL RECESSIVE CYTOCHROME b-NEGATIVE
CYHR1	cysteine and histidine rich 1 [Source:HGNC Symbol;Acc:HGNC:17806]	
CYP17A1	cytochrome P450 family 17 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2593]	46XY disorder of sex development due to isolated 17 20 lyase deficiency
CYP17A1	cytochrome P450 family 17 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2593]	Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency
CYP17A1	cytochrome P450 family 17 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2593]	ADRENAL HYPERPLASIA CONGENITAL DUE TO 17-ALPHA-HYDROXYLASE DEFICIENCY
CYP17A1	cytochrome P450 family 17 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2593]	17-alpha-hydroxyprogesterone aldolase activity
CYP17A1	cytochrome P450 family 17 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2593]	steroid 17-alpha-monooxygenase activity
DAO	D-amino acid oxidase [Source:HGNC Symbol;Acc:HGNC:2671]	Amyotrophic lateral sclerosis
DAO	D-amino acid oxidase [Source:HGNC Symbol;Acc:HGNC:2671]	SCHIZOPHRENIA
DAXX	death domain associated protein [Source:HGNC Symbol;Acc:HGNC:2681]	
DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	Classic maple syrup urine disease
DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	Intermediate maple syrup urine disease
DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	Intermittent maple syrup urine disease
DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	Thiamine-responsive maple syrup urine disease
DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	Maple Syrup Urine Disease
DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	Maple Syrup Urine Diseaseq
DCAF16	DDB1 and CUL4 associated factor 16 [Source:HGNC Symbol;Acc:HGNC:25987]	
DCAF4L1	DDB1 and CUL4 associated factor 4 like 1 [Source:HGNC Symbol;Acc:HGNC:27723]	
DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	Familial congenital mirror movements
DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	COLORECTAL CANCER
DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	ESOPHAGEAL CANCER ESOPHAGEAL SQUAMOUS CELL CARCINOMA SUSCEPTIBILITY TO INCLUDED
DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	MIRROR MOVEMENTS 1
DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	positive regulation of neuron death
DCTN4	dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518]	CYSTIC FIBROSIS
DDHD1	DDHD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19714]	Autosomal recessive spastic paraplegia type 28
DDHD1	DDHD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19714]	SPASTIC PARAPLEGIA 28 AUTOSOMAL RECESSIVE
DDHD1	DDHD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19714]	Hereditary Spastic Paraplegia
DDHD2	DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]	Autosomal recessive spastic paraplegia type 54
DDHD2	DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]	SPASTIC PARAPLEGIA 54 AUTOSOMAL RECESSIVE
DDHD2	DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]	Complex Hereditary Spastic Paraplegia
DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	negative regulation of TOR signaling
DDIT4L	DNA damage inducible transcript 4 like [Source:HGNC Symbol;Acc:HGNC:30555]	
DDX19A	DEAD-box helicase 19A [Source:HGNC Symbol;Acc:HGNC:25628]	
DDX27	DEAD-box helicase 27 [Source:HGNC Symbol;Acc:HGNC:15837]	
DEDD	death effector domain containing [Source:HGNC Symbol;Acc:HGNC:2755]	
DEDD2	death effector domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24450]	extrinsic apoptotic signaling pathway via death domain receptors
DEDD2	death effector domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24450]	positive regulation of extrinsic apoptotic signaling pathway
DGKI	diacylglycerol kinase iota [Source:HGNC Symbol;Acc:HGNC:2855]	
DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	
DHX57	DExH-box helicase 57 [Source:HGNC Symbol;Acc:HGNC:20086]	
DIEXF	digestive organ expansion factor homolog (zebrafish) [Source:HGNC Symbol;Acc:HGNC:28440]	
DIO3	deiodinase, iodothyronine type III [Source:HGNC Symbol;Acc:HGNC:2885]	
DLL4	delta like canonical Notch ligand 4 [Source:HGNC Symbol;Acc:HGNC:2910]	Adams Oliver syndrome
DLL4	delta like canonical Notch ligand 4 [Source:HGNC Symbol;Acc:HGNC:2910]	Aplasia cutis congenita
DLL4	delta like canonical Notch ligand 4 [Source:HGNC Symbol;Acc:HGNC:2910]	ADAMS-OLIVER SYNDROME 6
DMPK	dystrophia myotonica protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	Steinert myotonic dystrophy
DMPK	dystrophia myotonica protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	MYOTONIC DYSTROPHY 1
DMPK	dystrophia myotonica protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	dystrophia myotonica type 1 (DM1)
DMPK	dystrophia myotonica protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	nuclear envelope organization
DMRTC1B	DMRT like family C1B [Source:HGNC Symbol;Acc:HGNC:31686]	
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	Fibrolamellar hepatocellular carcinoma
DNAJB7	DnaJ heat shock protein family (Hsp40) member B7 [Source:HGNC Symbol;Acc:HGNC:24986]	
DNAJC10	DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]	
DNAJC18	DnaJ heat shock protein family (Hsp40) member C18 [Source:HGNC Symbol;Acc:HGNC:28429]	
DNAJC22	DnaJ heat shock protein family (Hsp40) member C22 [Source:HGNC Symbol;Acc:HGNC:25802]	
DNAJC6	DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]	Atypical juvenile parkinsonism
DNAJC6	DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]	Young-onset Parkinson disease
DNAJC6	DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]	PARKINSON DISEASE 19A JUVENILE-ONSET
DNASE1L2	deoxyribonuclease 1 like 2 [Source:HGNC Symbol;Acc:HGNC:2958]	
DNASE1L3	deoxyribonuclease 1 like 3 [Source:HGNC Symbol;Acc:HGNC:2959]	Autosomal recessive systemic lupus erythematosus
DNASE1L3	deoxyribonuclease 1 like 3 [Source:HGNC Symbol;Acc:HGNC:2959]	Hypocomplementemic urticarial vasculitis
DNASE1L3	deoxyribonuclease 1 like 3 [Source:HGNC Symbol;Acc:HGNC:2959]	SYSTEMIC LUPUS ERYTHEMATOSUS 16
DOCK6	dedicator of cytokinesis 6 [Source:HGNC Symbol;Acc:HGNC:19189]	Adams Oliver syndrome
DOCK6	dedicator of cytokinesis 6 [Source:HGNC Symbol;Acc:HGNC:19189]	Adams-Oliver syndrome 2
DOK1	docking protein 1 [Source:HGNC Symbol;Acc:HGNC:2990]	
DOPEY1	dopey family member 1 [Source:HGNC Symbol;Acc:HGNC:21194]	
DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:2995]	Congenital myasthenic syndromes with glycosylation defect
DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:2995]	DPAGT1-CDG syndrome
DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:2995]	CONGENITAL DISORDER OF GLYCOSYLATION TYPE Ij
DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:2995]	MYASTHENIC SYNDROME CONGENITAL 13
DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:2995]	MYASTHENIC SYNDROME CONGENITAL WITH TUBULAR AGGREGATES 2
DRD3	dopamine receptor D3 [Source:HGNC Symbol;Acc:HGNC:3024]	SCHIZOPHRENIA
DRD3	dopamine receptor D3 [Source:HGNC Symbol;Acc:HGNC:3024]	TREMOR HEREDITARY ESSENTIAL 1
DRD3	dopamine receptor D3 [Source:HGNC Symbol;Acc:HGNC:3024]	positive regulation of cytokinesis
DRD3	dopamine receptor D3 [Source:HGNC Symbol;Acc:HGNC:3024]	prepulse inhibition
DROSHA	drosha ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17904]	
DTWD2	DTW domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19334]	
DTX2	deltex E3 ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:15973]	
DUS4L	dihydrouridine synthase 4 like [Source:HGNC Symbol;Acc:HGNC:21517]	
DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	negative regulation of ERK1 and ERK2 cascade
DUSP9	dual specificity phosphatase 9 [Source:HGNC Symbol;Acc:HGNC:3076]	
DYDC2	DPY30 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23468]	
DZANK1	double zinc ribbon and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15858]	
E2F4	E2F transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3118]	
EBI3	Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129]	
ECD	ecdysoneless cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:17029]	
ECHDC3	enoyl-CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23489]	
EFCAB10	EF-hand calcium binding domain 10 [Source:HGNC Symbol;Acc:HGNC:34531]	
EFCAB6	EF-hand calcium binding domain 6 [Source:HGNC Symbol;Acc:HGNC:24204]	
EGFL8	EGF like domain multiple 8 [Source:HGNC Symbol;Acc:HGNC:13944]	
EHMT1	euchromatic histone lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24650]	Kleefstra syndrome due to 9q34 microdeletion
EHMT1	euchromatic histone lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24650]	Kleefstra syndrome due to a point mutation
EHMT1	euchromatic histone lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24650]	KLEEFSTRA SYNDROME
EHMT1	euchromatic histone lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24650]	9q subtelomeric deletion syndrome (9q- syndrome)
EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	
ELP2	elongator acetyltransferase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:18248]	Autosomal Recessive Mental Retardation
EMP3	epithelial membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3335]	
EMX2	empty spiracles homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3341]	Schizencephaly
EMX2	empty spiracles homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3341]	FAMILIAL SCHIZENCEPHALY EMX2-RELATED
EN2	engrailed homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3343]	
ENDOD1	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]	
ENOSF1	enolase superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:30365]	
ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 [Source:HGNC Symbol;Acc:HGNC:3367]	
EOMES	eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]	Microcephaly-polymicrogyria-corpus callosum agenesis syndrome
EOMES	eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]	POLYMICROGYRIA AND CORPUS CALLOSUM AGENESIS
EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	
EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	Early-onset nuclear cataract
EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	Early-onset posterior polar cataract
EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	Early-onset posterior subcapsular cataract
EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	Total early-onset cataract
EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	Cataract 6 multiple types
EPM2AIP1	EPM2A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19735]	
EPOR	erythropoietin receptor [Source:HGNC Symbol;Acc:HGNC:3416]	Primary familial polycythemia
EPOR	erythropoietin receptor [Source:HGNC Symbol;Acc:HGNC:3416]	ERYTHROCYTOSIS FAMILIAL 1
EPPIN	epididymal peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:15932]	negative regulation of calcium ion import
EPPIN	epididymal peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:15932]	negative regulation of flagellated sperm motility
EPS8L1	EPS8 like 1 [Source:HGNC Symbol;Acc:HGNC:21295]	
ERI2	ERI1 exoribonuclease family member 2 [Source:HGNC Symbol;Acc:HGNC:30541]	
ERVW-1	endogenous retrovirus group W member 1 [Source:HGNC Symbol;Acc:HGNC:13525]	
ETV4	ETS variant 4 [Source:HGNC Symbol;Acc:HGNC:3493]	Ewing sarcoma
EVA1B	eva-1 homolog B [Source:HGNC Symbol;Acc:HGNC:25558]	
EVC2	EvC ciliary complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19747]	Acrofacial dysostosis Weyers type
EVC2	EvC ciliary complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19747]	ELLIS-VAN CREVELD SYNDROME
EVC2	EvC ciliary complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19747]	WEYERS ACROFACIAL DYSOSTOSIS
EVC2	EvC ciliary complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19747]	acrofacial dysostosis Weyers type (WAD)
EXOC6B	exocyst complex component 6B [Source:HGNC Symbol;Acc:HGNC:17085]	
EXOG	exo/endonuclease G [Source:HGNC Symbol;Acc:HGNC:3347]	
EYA2	EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520]	
EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	Autosomal recessive non-syndromic intellectual disability
FAM109A	family with sequence similarity 109 member A [Source:HGNC Symbol;Acc:HGNC:26509]	
FAM120AOS	family with sequence similarity 120A opposite strand [Source:HGNC Symbol;Acc:HGNC:23389]	
FAM129B	family with sequence similarity 129 member B [Source:HGNC Symbol;Acc:HGNC:25282]	
FAM150B	family with sequence similarity 150 member B [Source:HGNC Symbol;Acc:HGNC:27683]	
FAM167B	family with sequence similarity 167 member B [Source:HGNC Symbol;Acc:HGNC:28133]	
